"﻿""Persoonskenmerken""",Marges,Perioden,"Rookgedrag, 12 jaar of ouder/Rookstatus/Rokers (%)","Rookgedrag, 12 jaar of ouder/Rookstatus/Ex-rokers (%)","Rookgedrag, 12 jaar of ouder/Rookstatus/Nooit-rokers (%)","Rookgedrag, 12 jaar of ouder/Rokers/Dagelijkse rokers onder bevolking (%)","Rookgedrag, 12 jaar of ouder/Rokers/Dagelijkse rokers onder rokers (%)","Rookgedrag, 12 jaar of ouder/Rokers/Zware rokers onder bevolking (%)","Rookgedrag, 12 jaar of ouder/Rokers/Zware rokers onder rokers (%)","Rookgedrag, 12 jaar of ouder/Sigarettenrokers/Sigarettenrokers (%)","Rookgedrag, 12 jaar of ouder/Sigarettenrokers/Sigaretten per dag per roker  (aantal)","Rookgedrag, 12 jaar of ouder/Sigarettenrokers/Rookjaren huidige sigarettenrokers (aantal)","Rookgedrag, 12 jaar of ouder/Sigarettenrokers/Stoppoging in afgelopen 12 maanden (%)","Rookgedrag, 12 jaar of ouder/Ex-sigarettenrokers/Rookjaren ex-sigarettenrokers (aantal)","Rookgedrag, 12 jaar of ouder/Ex-sigarettenrokers/Stopjaren ex-sigarettenrokers (aantal)",Meeroken onder niet-rokers/(Bijna) nooit (%),"Alcoholgebruik, 12 jaar of ouder/Drinkers/Glazen alcohol per dag per drinker (aantal)","Drugsgebruik, 12 jaar of ouder/Cannabisgebruik/Afgelopen jaar (%)","Drugsgebruik, 12 jaar of ouder/Amfetaminegebruik/Afgelopen jaar (%)","Drugsgebruik, 12 jaar of ouder/Ecstasygebruik/Afgelopen jaar (%)","Drugsgebruik, 12 jaar of ouder/Cocaïnegebruik/Afgelopen jaar (%)","Drugsgebruik, 12 jaar of ouder/Gebruik overige drugs/Afgelopen jaar (%)","Drugsgebruik, 12 jaar of ouder/Drugsgebruik totaal/Afgelopen jaar (%)","Lengte en gewicht/Opgegeven gewicht, 18 jaar of ouder (aantal)"
Totaal personen,Waarde,2022,    17.9,    30.3,    51.7,    12.3,    68.6,     2.3,    12.6,    15.5,     9.3,    25.4,    36.9,    20.0,    20.9,    83.9,     1.1,     7.7,     1.3,     3.7,     2.2,     2.3,    10.0,    78.5
Geslacht: Mannen,Waarde,2022,    21.3,    30.6,    48.0,    14.4,    67.7,     2.9,    13.5,    17.8,     9.8,    24.6,    36.2,    21.3,    20.5,    82.6,     1.4,    10.5,     1.8,     4.5,     3.1,     2.8,    13.2,    85.3
Geslacht: Vrouwen,Waarde,2022,    14.6,    30.0,    55.4,    10.2,    69.9,     1.6,    11.3,    13.2,     8.8,    26.4,    37.9,    18.7,    21.2,    85.2,     0.7,     5.0,     0.8,     2.9,     1.4,     1.7,     6.9,    71.8
Leeftijd: 0 tot 4 jaar,Waarde,2022,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,    96.4,       .,       .,       .,       .,       .,       .,       .,       .
Leeftijd: 4 tot 12 jaar,Waarde,2022,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,       .,    95.6,       .,       .,       .,       .,       .,       .,       .,       .
Leeftijd: 12 tot 16 jaar,Waarde,2022,     2.9,     0.9,    96.2,     0.9,       .,     0.0,       .,     1.9,       .,       .,       .,       .,       .,    80.9,       .,     2.8,     0.0,     0.0,     0.0,     0.2,     2.8,       .
Leeftijd: 16 tot 20 jaar,Waarde,2022,    18.5,     4.3,    77.2,     6.5,       .,     1.1,       .,    16.8,       .,       .,       .,       .,       .,    59.4,     1.2,    19.8,     1.0,     6.7,     2.4,     3.7,    21.6,    69.7
Leeftijd: 20 tot 30 jaar,Waarde,2022,    27.8,    11.2,    61.0,    15.5,    55.7,     2.3,     8.5,    24.8,     7.0,     8.2,    40.5,     6.1,     3.2,    65.4,     1.2,    21.8,     4.7,    13.3,     8.2,     7.8,    29.1,    74.5
Leeftijd: 30 tot 40 jaar,Waarde,2022,    21.3,    22.6,    56.1,    13.9,    65.0,     2.8,    13.1,    18.8,     8.9,    17.2,    34.9,    10.5,     7.9,    78.8,     0.9,    10.6,     2.5,     6.4,     3.5,     3.2,    15.2,    78.5
Leeftijd: 40 tot 50 jaar,Waarde,2022,    20.0,    29.6,    50.4,    15.0,    74.8,     2.9,    14.6,    17.4,    10.8,    26.4,    35.0,    14.8,    13.5,    85.5,     0.9,     5.6,     0.7,     2.0,     2.0,     1.6,     7.6,    80.9
